0.00;-0.00;-216.57
0.00;-0.00;-226.75
0.00;-0.00;-237.59
0.00;-0.00;-249.09
0.00;-0.00;-261.24
0.00;-0.00;-274.04
0.00;-0.00;-287.46
0.00;-0.00;-301.47
0.00;-0.00;-316.07
0.00;-0.00;-331.20
0.00;-0.00;-346.84
0.00;-0.00;-362.95
0.00;-0.00;-379.50
0.00;-0.00;-396.45
0.00;-0.00;-413.76
0.00;-0.00;-431.39
0.00;-0.00;-449.31
0.00;-0.00;-467.49
0.00;-0.00;-485.90
0.00;-0.00;-504.49
0.00;-0.00;-523.26
0.00;-0.00;-542.16
0.00;-0.00;-561.17
0.00;-0.00;-580.27
0.00;-0.00;-599.43
0.00;-0.00;-618.64
0.00;-0.00;-637.86
0.00;-0.00;-657.10
0.00;-0.00;-676.32
0.00;-0.00;-695.51
0.00;-0.00;-714.65
0.00;-0.00;-733.73
0.00;-0.00;-752.74
0.00;-0.00;-771.66
0.00;-0.00;-790.48
0.00;-0.00;-809.18
0.00;-0.00;-827.76
0.00;-0.00;-846.21
0.00;-0.00;-864.51
0.00;-0.00;-882.66
0.00;-0.00;-900.64
0.00;-0.00;-918.45
0.00;-0.00;-936.08
0.00;-0.00;-953.52
0.00;-0.00;-970.75
0.00;-0.00;-987.79
0.00;-0.00;-1004.61
0.00;-0.00;-1021.20
0.00;-0.00;-1037.57
0.00;-0.00;-1053.71
0.00;-0.00;-1069.61
0.00;-0.00;-1085.26
0.00;-0.00;-1100.66
0.00;-0.00;-1115.80
0.00;-0.00;-1130.67
0.00;-0.00;-1145.28
0.00;-0.00;-1159.61
0.00;-0.00;-1173.67
0.00;-0.00;-1187.44
0.00;-0.00;-1200.92
0.00;-0.00;-1214.11
0.00;-0.00;-1227.01
0.00;-0.00;-1239.60
0.00;-0.00;-1251.89
0.00;-0.00;-1263.87
0.00;-0.00;-1275.53
0.00;-0.00;-1286.88
0.00;-0.00;-1297.92
0.00;-0.00;-1308.63
0.00;-0.00;-1319.01
0.00;-0.00;-1329.07
0.00;-0.00;-1338.80
0.00;-0.00;-1348.19
0.00;-0.00;-1357.25
0.00;-0.00;-1365.97
0.00;-0.00;-1374.35
0.00;-0.00;-1382.39
0.00;-0.00;-1390.08
0.00;11.70;-1392.50
0.00;23.41;-1394.74
0.00;35.15;-1396.80
0.00;46.90;-1398.67
0.00;58.65;-1400.37
0.00;70.41;-1401.89
0.00;82.17;-1403.23
0.00;93.92;-1404.39
0.00;105.66;-1405.38
0.00;117.38;-1406.18
0.00;129.08;-1406.81
0.00;140.74;-1407.27
0.00;152.36;-1407.55
0.00;163.94;-1407.66
0.00;175.46;-1407.60
0.00;186.92;-1407.37
0.00;198.30;-1406.99
0.00;209.60;-1406.44
0.00;220.80;-1405.73
0.00;231.88;-1404.88
0.00;242.84;-1403.88
0.00;253.65;-1402.74
0.00;264.30;-1401.47
0.00;274.75;-1400.09
0.00;284.98;-1398.59
0.00;294.95;-1397.00
0.00;304.63;-1395.33
0.00;313.94;-1393.61
0.00;322.84;-1391.86
0.00;331.23;-1390.10
0.00;339.00;-1388.40
0.00;346.01;-1386.79
0.00;352.05;-1385.34
0.00;356.85;-1384.16
0.00;360.00;-1383.37
0.00;360.91;-1383.14
0.00;358.69;-1383.70
0.00;351.90;-1385.38
0.00;338.17;-1388.58
0.00;313.44;-1393.71
0.00;270.75;-1400.63
0.00;199.21;-1406.95
0.00;86.94;-1403.72
0.00;-65.34;-1373.10
0.00;-232.40;-1299.95
0.00;-380.16;-1188.56
-0.00;717.58;-1182.69
-0.00;704.71;-1194.99
