0.00;-0.00;-216.79
0.00;-0.00;-222.04
0.00;-0.00;-227.46
0.00;-0.00;-233.06
0.00;-0.00;-238.84
0.00;-0.00;-244.79
0.00;-0.00;-250.92
0.00;-0.00;-257.20
0.00;-0.00;-263.65
1.93;1.12;-268.03
3.94;2.27;-272.46
6.02;3.48;-276.95
8.18;4.72;-281.48
10.41;6.01;-286.07
12.72;7.34;-290.69
15.10;8.72;-295.34
17.56;10.14;-300.03
20.10;11.60;-304.74
22.71;13.11;-309.48
25.40;14.67;-314.23
28.17;16.26;-318.99
31.00;17.90;-323.76
33.92;19.58;-328.54
36.90;21.31;-333.31
39.96;23.07;-338.07
43.09;24.88;-342.83
46.29;26.72;-347.57
46.51;30.10;-349.93
46.72;33.54;-352.26
46.93;37.04;-354.57
47.14;40.59;-356.84
47.34;44.20;-359.09
